projText,projNumber,projComment,projIcon,projID
Acosta_ServiceDesk,907, ...,fa-automobile,acosta
Amcor,310, ...,fa-binoculars,amcor
Career Education Corporation,824, ...,fa-bed,cec
Covance,832, ...,fa-coffee,covance
Embraer,798, ...,fa-gamepad,embraer
Ferro,334, ...,fa-key,ferro
Louis Vuitton North America,463, ...,fa-ship,lvamerica
MasterCard,457, ...,fa-rocket,mcard
Novelis,159, ...,fa-fire-extinguisher,novelis
Route One,471, ...,fa-fighter-jet,routeone
Swagelok,196, ...,fa-shopping-bag,swagelok
Town Sports International,736, ...,fa-magnet,tsi
Visteon,835, ...,fa-heartbeat,visteon
